"","SubjectTag","CASEID","S00_H40"
"1",100,1,NA
"2",200,2,36.2368892299821
"3",300,3,62.2857862903226
"4",400,4,NA
"5",500,5,NA
"6",600,6,77.2704016372474
"7",700,7,22.8191353287286
"8",800,8,77.5299274995785
"9",900,9,62.2026093630084
"10",1000,10,NA
"11",1100,11,77.7052954719877
"12",1200,12,NA
"13",1300,13,89.4073512055303
"14",1400,14,83.3795362903226
"15",1500,15,81.4894153225807
"16",1600,16,65.3261703760553
"17",1700,17,49.2653705124925
"18",1800,18,74.9243951612903
"19",1900,19,56.9052419354839
"20",2000,20,82.3571908602151
"21",2100,21,81.2752016129032
"22",2200,22,61.5886415963162
"23",2300,23,NA
"24",2400,24,NA
"25",2500,25,64.3615591397849
"26",2600,26,NA
"27",2700,27,77.1639784946236
"28",2800,28,NA
"29",2900,29,56.8048094141724
"30",3000,30,32.0542338193912
"31",3100,31,30.9797902276797
"32",3200,32,89.8915989159892
"33",3300,33,19.8324379636736
"34",3400,34,75.530826298286
"35",3500,35,NA
"36",3600,36,55.8774622665643
"37",3700,37,58.5554702822546
"38",3800,38,50.4540803274495
"39",3900,39,64.0487763281317
"40",4000,40,78.1922043010753
"41",4100,41,73.4185987903226
"42",4200,42,49.2439516129032
"43",4300,43,17.3126119212075
"44",4400,44,54.7262727040164
"45",4500,45,NA
"46",4600,46,86.5758506011768
"47",4700,47,51.3886757056366
"48",4800,48,NA
"49",4900,49,78.5450268817204
"50",5000,50,38.2088343139763
"51",5100,51,NA
"52",5200,52,NA
"53",5300,53,18.6556664108468
"54",5400,54,26.1164314516129
"55",5500,55,NA
"56",5600,56,NA
"57",5700,57,71.278561827957
"58",5800,58,80.568346550695
"59",5900,59,49.6841397849462
"60",6000,60,NA
"61",6100,61,74.4371962138654
"62",6200,62,50.5691992837043
"63",6300,63,88.1720430107527
"64",6400,64,NA
"65",6500,65,NA
"66",6600,66,82.2958669354839
"67",6700,67,89.6776669224866
"68",6800,68,82.6864919354839
"69",6900,69,87.0619084164748
"70",7000,70,92.6899462778204
"71",7100,71,NA
"72",7200,72,61.9506048387097
"73",7300,73,85.4438475313379
"74",7400,74,NA
"75",7500,75,88.1552419354839
"76",7600,76,61.5423387096774
"77",7700,77,79.3105653619852
"78",7800,78,83.960092095165
"79",7900,79,91.7002688172043
"80",8000,80,50.4668713225889
"81",8100,81,64.6610383064516
"82",8200,82,59.2542849833717
"83",8300,83,46.4150705645161
"84",8400,84,64.1276541314914
"85",8500,85,40.1274835848896
"86",8600,86,45.0655241935484
"87",8700,87,64.1404451266309
"88",8800,88,66.2940223416048
"89",8900,89,76.4112731303829
"90",9000,90,85.9725419971007
"91",9100,91,74.136607828089
"92",9200,92,27.4026302478503
"93",9300,93,45.951650038373
"94",9400,94,23.7270087124879
"95",9500,95,64.5203293010753
"96",9600,96,27.7500639549757
"97",9700,97,60.9988239247312
"98",9800,98,35.1310483870968
"99",9900,99,58.0359543010753
"100",10000,100,40.553850089537
"101",10100,101,84.6683735674226
"102",10200,102,91.9288820670248
"103",10300,103,92.2947226437363
"104",10400,104,51.2266059686393
"105",10500,105,43.9344124093745
"106",10600,106,81.2675876183167
"107",10700,107,77.2807459677419
"108",10800,108,89.4368571910302
"109",10900,109,NA
"110",11000,110,80.8177709559137
"111",11100,111,46.3089451692675
"112",11200,112,53.0052923387097
"113",11300,113,NA
"114",11400,114,NA
"115",11500,115,NA
"116",11600,116,NA
"117",11700,117,72.3697916666667
"118",11800,118,NA
"119",11900,119,67.4085443847531
"120",12000,120,80.4183467741936
"121",12100,121,95.6126886671783
"122",12200,122,54.1960685483871
"123",12300,123,NA
"124",12400,124,76.4709644410335
"125",12500,125,36.2420056280379
"126",12600,126,69.0436599300759
"127",12700,127,NA
"128",12800,128,66.2550403225807
"129",12900,129,71.9877206446662
"130",13000,130,NA
"131",13100,131,NA
"132",13200,132,NA
"133",13300,133,48.0046047582502
"134",13400,134,NA
"135",13500,135,79.0188172043011
"136",13600,136,28.0997983870968
"137",13700,137,81.0609879032258
"138",13800,138,76.3686364799181
"139",13900,139,73.7840221774193
"140",14000,140,92.5556408288565
"141",14100,141,71.1874051593323
"142",14200,142,46.2735215053763
"143",14300,143,66.2512100677638
"144",14400,144,29.9443601416287
"145",14500,145,22.6289833080425
"146",14600,146,39.4279233870968
"147",14700,147,59.0624200562804
"148",14800,148,64.1532361217703
"149",14900,149,53.1376008064516
"150",15000,150,39.1431451612903
"151",15100,151,NA
"152",15200,152,62.3109879032258
"153",15300,153,29.2146328984395
"154",15400,154,NA
"155",15500,155,26.016884113584
"156",15600,156,65.276377688172
"157",15700,157,83.9087701612903
"158",15800,158,84.640026976901
"159",15900,159,87.4747983870968
"160",16000,160,78.5072244623656
"161",16100,161,51.9762087490407
"162",16200,162,80.5640828856485
"163",16300,163,NA
"164",16400,164,38.0216733870968
"165",16500,165,22.9854182655411
"166",16600,166,66.0912298387097
"167",16700,167,32.4722782258064
"168",16800,168,NA
"169",16900,169,NA
"170",17000,170,40.1607401722521
"171",17100,171,80.1411290322581
"172",17200,172,6.70362903225806
"173",17300,173,NA
"174",17400,174,71.5078965053764
"175",17500,175,NA
"176",17600,176,NA
"177",17700,177,NA
